"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Uintah Basin Healthcare","UT","Healthcare Provider","103974","05/10/2023","Hacking/IT Incident","Network Server","No",""
"Brightline, Inc.","CA","Business Associate","28975","05/10/2023","Hacking/IT Incident","Other","Yes",""
"Smile Doctors of Arizona, P.C. d/b/a Grinz Orthodontics (""Grinz Orthodontics"")","AZ","Healthcare Provider","1034","05/09/2023","Theft","Desktop Computer","No",""
"ASAS Health, LLC","TX","Healthcare Provider","25527","05/06/2023","Hacking/IT Incident","Desktop Computer, Laptop, Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","1971","05/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"United Healthcare Services, Inc. Single Affiliated Covered Entity","CT","Health Plan","26561","05/05/2023","Hacking/IT Incident","Network Server","No",""
"Our Sunday Visitor, Inc.","IN","Health Plan","965","05/05/2023","Hacking/IT Incident","Network Server","No",""
"People Incorporated of Sequoyah County","OK","Healthcare Provider","8725","05/05/2023","Hacking/IT Incident","Network Server","No",""
"New Mexico Department of Health","NM","Healthcare Provider","49000","05/04/2023","Unauthorized Access/Disclosure","Other","No",""
"Methodist Family Health","AR","Healthcare Provider","5259","05/03/2023","Hacking/IT Incident","Network Server","No",""
"Northwest Health – La Porte","IN","Healthcare Provider","10256","05/02/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oyate Health Center","SD","Healthcare Provider","575","05/02/2023","Improper Disposal","Paper/Films","No",""
"Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ","WV","Healthcare Provider","2563","05/02/2023","Hacking/IT Incident","Network Server","Yes",""
"University Urology","NY","Healthcare Provider","56816","05/01/2023","Hacking/IT Incident","Network Server","No",""
"Summit Eye & Optical","NJ","Healthcare Provider","5727","05/01/2023","Hacking/IT Incident","Network Server","No",""
"ReDiscover Mental Health","MO","Healthcare Provider","877","05/01/2023","Unauthorized Access/Disclosure","Email","No",""
"Brightside Health, Inc.","CA","Healthcare Provider","767","04/30/2023","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Link Audiology LLC","WA","Healthcare Provider","7200","04/28/2023","Hacking/IT Incident","Email","No",""
"HealthPlan Services, Inc.","FL","Business Associate","9349","04/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers","VA","Healthcare Provider","5272","04/28/2023","Hacking/IT Incident","Email","No",""
"Allina Health","MN","Healthcare Provider","1042","04/28/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Unlimited Care, Inc. ","NY","Healthcare Provider","8453","04/27/2023","Hacking/IT Incident","Network Server","No",""
"Delphi Drug & Alcohol Council","NY","Healthcare Provider","6288","04/27/2023","Hacking/IT Incident","Email","No",""
"University of California, San Francisco","CA","Healthcare Provider","676","04/26/2023","Hacking/IT Incident","Email","No",""
"CounSol, LLC","FL","Business Associate","4277","04/25/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Lake County Health Department and Community Health Center","IL","Healthcare Provider","17000","04/25/2023","Hacking/IT Incident","Email","No",""
"Mars Area School District  ","PA","Health Plan","1270","04/24/2023","Hacking/IT Incident","Network Server","No",""
"Robeson Health Care Corporation","NC","Healthcare Provider","15045","04/21/2023","Hacking/IT Incident","Network Server","No",""
"Brightline, Inc.","CA","Business Associate","180694","04/20/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"Upper Peninsula Health Plan ","MI","Health Plan","833","04/20/2023","Hacking/IT Incident","Network Server","Yes",""
"Modern Cardiology Associates","","Healthcare Provider","10000","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Graceworks Lutheran Services","OH","Healthcare Provider","6737","04/19/2023","Hacking/IT Incident","Network Server","No",""
"Morgan Stanley","NY","Health Plan","535","04/18/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Integrated Medical Services","AZ","Healthcare Provider","6591","04/17/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Ethan Health, LLC","KY","Healthcare Provider","4047","04/14/2023","Hacking/IT Incident","Email","No",""
"MiniMed Distribution Corp.","CA","Healthcare Provider","58374","04/14/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Dallas County","TX","Healthcare Provider","501","04/14/2023","Improper Disposal","Desktop Computer","No",""
"United Steelworkers Local 286","PA","Health Plan","37965","04/14/2023","Hacking/IT Incident","Email","No",""
"Two Rivers Public Health Department","NE","Healthcare Provider","15168","04/14/2023","Hacking/IT Incident","Email","No",""
"Presence Healthcare Services dba Presence Medical Group ","IL","Healthcare Provider","921","04/14/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Henry County Hospital","OH","Healthcare Provider","3689","04/14/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","49968","04/13/2023","Hacking/IT Incident","Network Server, Other","Yes",""
"NationsBenefits Holdings, LLC","FL","Business Associate","3037303","04/13/2023","Hacking/IT Incident","Network Server","Yes",""
"John Muir Health - Walnut Creek Medical Center","CA","Healthcare Provider","821","04/13/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Multnomah County","OR","Healthcare Provider","2721","04/12/2023","Theft","Paper/Films","No",""
"Cummins Behavioral Health Systems","IN","Healthcare Provider","501","04/12/2023","Hacking/IT Incident","Network Server","No",""
"Montgomery General Hospital","WV","Healthcare Provider","500","04/11/2023","Hacking/IT Incident","Network Server","No",""
"Pathway Healthcare, LLC","AL","Healthcare Provider","1304","04/11/2023","Unauthorized Access/Disclosure","Email","No",""
"Retina & Vitreous of Texas, PLLC","TX","Healthcare Provider","35766","04/10/2023","Hacking/IT Incident","Network Server","No",""
"St. Vincent’s Ambulatory Care, Inc.","FL","Healthcare Provider","768","04/10/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Iowa Department of Health and Human Services - Iowa Medicaid Enterprise (Iowa HHS-IME)","IA","Health Plan","20815","04/10/2023","Hacking/IT Incident","Network Server","Yes",""
"La Clínica de La Raza, Inc.","CA","Healthcare Provider","15316","04/07/2023","Hacking/IT Incident","Email","No",""
"Brightline, Inc.","CA","Business Associate","199000","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","21830","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Gretna Family Health","NE","Healthcare Provider","600","04/07/2023","Hacking/IT Incident","Network Server","No",""
"Brightline, Inc.","CA","Business Associate","7411","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","31440","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","4044","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","462241","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Brightline, Inc.","CA","Business Associate","7672","04/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Centers for Medicare & Medicaid Services","MD","Health Plan","10011","04/07/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"St. Luke's Health System, Ltd. ","ID","Healthcare Provider","15246","04/06/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"California Physicians’ Services dba Blue Shield of California","CA","Health Plan","1553","04/05/2023","Hacking/IT Incident","Network Server","Yes",""
"NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM","PA","Health Plan","13240","04/05/2023","Hacking/IT Incident","Email","No",""
"California Physicians' Services d/b/a Blue Shield of California","CA","Business Associate","61790","04/04/2023","Hacking/IT Incident","Network Server","Yes",""
"banis plastci surgery","KY","Healthcare Provider","4498","04/04/2023","Unauthorized Access/Disclosure","Email","No",""
"Chippewa County","WI","Healthcare Provider","842","04/04/2023","Hacking/IT Incident","Network Server","No",""
"Integrative Health of Utah, PLLC","UT","Healthcare Provider","600","04/03/2023","Theft","Electronic Medical Record, Paper/Films","No",""
"Southwest Healthcare Services","ND","Healthcare Provider","15996","04/01/2023","Hacking/IT Incident","Network Server","No",""
"Tallahassee Memorial Healthcare, Inc.","FL","Healthcare Provider","20376","03/31/2023","Hacking/IT Incident","Network Server","No",""
"Monument, Inc.","NY","Business Associate","108584","03/31/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Santa Clara Family Health Plan","CA","Health Plan","276993","03/30/2023","Hacking/IT Incident","Network Server","Yes",""
"Aspire Health Partners ","FL","Healthcare Provider","999","03/29/2023","Improper Disposal","Paper/Films","No",""
"UHS of Delaware, Inc. ","PA","Business Associate","40290","03/29/2023","Hacking/IT Incident","Email","Yes",""
"Nonstop Administration and Insurance Services, Inc.","PA","Business Associate","8571","03/27/2023","Hacking/IT Incident","Network Server","Yes",""
"American Pain and Wellness, PLLC","TX","Healthcare Provider","7457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"NewBridge Services","NJ","Healthcare Provider","1457","03/24/2023","Hacking/IT Incident","Network Server","No",""
"Atlantic General Hospital","MD","Healthcare Provider","26591","03/24/2023","Hacking/IT Incident","Network Server","No",""
"Frideres Dental LLC","OR","Healthcare Provider","1596","03/24/2023","Hacking/IT Incident","Email","No",""
"New Medical Healthcare","KS","Healthcare Provider","1557","03/22/2023","Unauthorized Access/Disclosure","Email","No",""
"US Wellness Inc.","MD","Business Associate","15818","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates ","NY","Business Associate","3851","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc. ","NY","Business Associate","795","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Springfield Dialysis Center ","NY","Business Associate","922","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.","NY","Business Associate","2204","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - 522012","NY","Business Associate","563","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.  ","NY","Business Associate","970","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - New York Renal Associates ","NY","Business Associate","1126","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC ","NY","Business Associate","1119","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Morrisania Dialysis Center  ","NY","Business Associate","653","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - East End Dialysis Center LLC ","NY","Business Associate","745","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Central Park Dialysis Center  ","NY","Business Associate","1345","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC ","NY","Business Associate","1052","03/22/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Broadway Dialysis Center  ","NY","Business Associate","776","03/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Atlantic Dialysis Management Services - Astoria Dialysis Center  ","NY","Business Associate","3851","03/21/2023","Hacking/IT Incident","Network Server","Yes",""
"Yardley Dermatology Associates, PC","PA","Healthcare Provider","523","03/21/2023","Unauthorized Access/Disclosure","Email","No",""
"McAllen Hospitals, LP d/b/a South Texas Health System","TX","Healthcare Provider","500","03/20/2023","Hacking/IT Incident","Email","No",""
"NewYork-Presbyterian Hospital","NY","Healthcare Provider","54396","03/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Integrated Supports for Living, Inc.","OR","Healthcare Provider","1161","03/20/2023","Hacking/IT Incident","Network Server","No",""
"Majestic Care Middletown Assisted Living LLC","IN","Healthcare Provider","2636","03/17/2023","Hacking/IT Incident","Network Server","No",""
"OU Medicine, Inc. d/b/a OU Health","OK","Healthcare Provider","3013","03/17/2023","Theft","Laptop","No",""
"Health Plan of San Mateo","CA","Health Plan","11894","03/17/2023","Hacking/IT Incident","Email","No",""
"Associates in Dermatology","KY","Healthcare Provider","8517","03/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Systems Professional Services Corporations (CHSPSC), LLC","TN","Business Associate","962884","03/16/2023","Hacking/IT Incident","Network Server","Yes",""
"UC San Diego Health ","CA","Healthcare Provider","23000","03/16/2023","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"AllCare Plus Pharmacy, Inc.","MA","Healthcare Provider","757","03/15/2023","Hacking/IT Incident","Email","No",""
"Healthy Options dba Postal Prescription Services – Kroger ","OH","Healthcare Provider","82466","03/15/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Merritt Healthcare Advisors","CT","Business Associate","77258","03/15/2023","Hacking/IT Incident","Email","Yes",""
"California Department of Health Care Services","CA","Health Plan","6460","03/14/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Top of the World Ranch Treatment Center","IL","Healthcare Provider","1980","03/14/2023","Hacking/IT Incident","Email","No",""
"NorthStar Emergency Medical Services","AL","Healthcare Provider","82450","03/14/2023","Hacking/IT Incident","Network Server","No",""
"Beach District Surgery Center","CA","Healthcare Provider","3560","03/13/2023","Hacking/IT Incident","Email","Yes",""
"Bone & Joint Clinic, S.C.","WI","Healthcare Provider","105094","03/13/2023","Hacking/IT Incident","Network Server","No",""
"Ryu Physical Therapy, P.C.","CA","Healthcare Provider","500","03/11/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"ZOLL Services LLC ","MA","Healthcare Provider","997097","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Florida Medical Clinic, LLC","FL","Healthcare Provider","94132","03/10/2023","Hacking/IT Incident","Network Server","No",""
"Colquitt Complete Care, LLC","GA","Healthcare Provider","1282","03/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Department of Economic Security, Division of Developmental Disabilities","AZ","Healthcare Provider","857","03/10/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Beacon Health System","IN","Healthcare Provider","3117","03/10/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Wichita Urology Group, PA (“WUG”) ","KS","Healthcare Provider","1493","03/08/2023","Hacking/IT Incident","Network Server","No",""
"EPIC Management, LLC","CA","Health Plan","1190","03/08/2023","Hacking/IT Incident","Email","No",""
"Community Health Centers of Greater Dayton","OH","Healthcare Provider","516","03/08/2023","Unauthorized Access/Disclosure","Email","No",""
"The M K Morse Company's Health Plan","OH","Health Plan","1378","03/08/2023","Hacking/IT Incident","Network Server","No",""
"SundaySky, Inc.","NY","Business Associate","37095","03/07/2023","Hacking/IT Incident","Network Server","Yes",""
"Trinity Health","MI","Business Associate","45350","03/06/2023","Hacking/IT Incident","Email","Yes",""
"The Chautauqua Center Inc.","NY","Healthcare Provider","745","03/06/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Northeast Surgical Group, PC","MI","Healthcare Provider","15298","03/06/2023","Hacking/IT Incident","Network Server","No",""
"West Virginia University Board of Governors","WV","Healthcare Provider","2453","03/03/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Denver Public Schools Medical Plans","CO","Health Plan","35068","03/03/2023","Hacking/IT Incident","Network Server","No",""
"Codman Square Health Center","MA","Healthcare Provider","10161","03/01/2023","Hacking/IT Incident","Network Server","No",""
"Cerebral, Inc","DE","Business Associate","3179835","03/01/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Texas Medical Liability Trust and its affiliates","TX","Business Associate","600","03/01/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Group ","CA","Health Plan","824","02/28/2023","Hacking/IT Incident","Network Server","Yes",""
"Valera Health","NY","Healthcare Provider","2317","02/28/2023","Unauthorized Access/Disclosure","Email","No",""
"Clarity Child Guidance Center","TX","Health Plan","531","02/28/2023","Unauthorized Access/Disclosure","Email","No",""
"Sentara Healthcare","VA","Healthcare Provider","741","02/24/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Asante","OR","Healthcare Provider","8834","02/24/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Aloha Nursing Rehab Centre","HI","Healthcare Provider","20216","02/24/2023","Hacking/IT Incident","Network Server","No",""
"eMDs, Inc.","TX","Business Associate","625","02/24/2023","Hacking/IT Incident","Network Server","Yes",""
"White Bird Clinic","OR","Healthcare Provider","584","02/23/2023","Unauthorized Access/Disclosure","Email","No",""
"Henrico Doctors Hospital","VA","Healthcare Provider","990","02/21/2023","Unauthorized Access/Disclosure","Email","No",""
"Sharp Healthcare","CA","Healthcare Provider","62777","02/17/2023","Hacking/IT Incident","Network Server","No",""
"Hutchinson Clinic, P.A. ","KS","Healthcare Provider","100000","02/17/2023","Hacking/IT Incident","Network Server","No",""
"West Cecil Health Center","MD","Healthcare Provider","1136","02/17/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"Jackson Lewis P.C. ","CA","Business Associate","986","02/17/2023","Theft","Other Portable Electronic Device","Yes",""
"San Juan Regional Medical Center","NM","Healthcare Provider","8500","02/15/2023","Hacking/IT Incident","Network Server","Yes",""
"Integrative Dentistry","WA","Healthcare Provider","2281","02/14/2023","Hacking/IT Incident","Network Server","No",""
"Reventics, LLC","FL","Business Associate","250918","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"CentraState Healthcare System, Inc.","NJ","Healthcare Provider","617901","02/10/2023","Hacking/IT Incident","Network Server","No",""
"Intelligent Business Solutions ","NC","Business Associate","11595","02/10/2023","Hacking/IT Incident","Network Server","Yes",""
"Compass Behavioral Health","KS","Healthcare Provider","537","02/10/2023","Hacking/IT Incident","Email","No",""
"Highmark Inc","PA","Business Associate","36600","02/10/2023","Hacking/IT Incident","Email","Yes",""
"Evergreen Treatment Services","WA","Healthcare Provider","21325","02/10/2023","Hacking/IT Incident","Network Server","No",""
"Highmark Inc","PA","Health Plan","239039","02/10/2023","Hacking/IT Incident","Email","No",""
"Wentworth Health Partners Garrison Women's Health","NH","Healthcare Provider","4158","02/10/2023","Hacking/IT Incident","Electronic Medical Record","Yes",""
"CVS Specialty","RI","Healthcare Provider","740","02/10/2023","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Nelson Pharmacy Consulting Services PLC","IA","Healthcare Provider","500","02/10/2023","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Cheyenne Radiology Group & MRI, P.C.","WY","Healthcare Provider","500","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Tattnall County, Georgia","GA","Healthcare Provider","1337","02/09/2023","Hacking/IT Incident","Network Server","No",""
"Health Benefit Plan of Bridgewater-Raritan Regional School District","NJ","Health Plan","3909","02/09/2023","Hacking/IT Incident","Network Server","No",""
"90 Degree Benefits, Inc.","WI","Business Associate","175000","02/08/2023","Hacking/IT Incident","Network Server","Yes",""
"NR Pennsylvania Associates, LLC","PA","Healthcare Provider","14335","02/07/2023","Hacking/IT Incident","Network Server","No",""
"NR Connecticut, LLC","CT","Healthcare Provider","2160","02/07/2023","Hacking/IT Incident","Network Server","No",""
"Frank R. Laurri, M.D. and Associates, P.C.","NY","Healthcare Provider","2673","02/07/2023","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Teijin Automotive Technologies Welfare Plan","MI","Health Plan","25464","02/06/2023","Hacking/IT Incident","Network Server","No",""
"Vitra Health, Inc.","MA","Healthcare Provider","1618","02/06/2023","Hacking/IT Incident","Email","No",""
"Center for Autism and Related Disorders, LLC","TX","Healthcare Provider","634","02/04/2023","Unauthorized Access/Disclosure","Paper/Films","No",""
"Rise Interactive Media & Analytics, LLC","IL","Business Associate","54509","02/03/2023","Hacking/IT Incident","Network Server","Yes",""
"Cardiovascular Associates","AL","Healthcare Provider","441640","02/03/2023","Hacking/IT Incident","Network Server","No",""
"Southeast Colorado Hospital District","CO","Healthcare Provider","1435","02/03/2023","Hacking/IT Incident","Email","No",""
"Hospice of the Valley","AZ","Healthcare Provider","3840","02/03/2023","Hacking/IT Incident","Email","No",""
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical","UT","Healthcare Provider","5327","02/02/2023","Hacking/IT Incident","Network Server","No",""
"The Institute for Liver Health dba Arizona Liver Health-Arizona Clinical Trials","AZ","Healthcare Provider","1277","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below","AZ","Healthcare Provider","10978","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Regal Medical Group,Lakeside Medical Organization, ADOC Acquisition, & Greater Covina Medical Group","CA","Healthcare Provider","3300638","02/01/2023","Hacking/IT Incident","Network Server","No",""
"Institute for Hormonal Balance","TX","Healthcare Provider","597","01/31/2023","Theft","Paper/Films","No",""
"Brooks Rehabilitation","FL","Healthcare Provider","1554","01/31/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DotHouse Health Incorporated","MA","Healthcare Provider","10000","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Benefit Administrative Systems, LLC (BAS)","IL","Business Associate","6465","01/27/2023","Hacking/IT Incident","Network Server","Yes",""
"Cedar Oaks Surgery Center ","MO","Healthcare Provider","794","01/27/2023","Hacking/IT Incident","Email","No",""
"Stroke Scan Inc","TX","Healthcare Provider","50000","01/27/2023","Hacking/IT Incident","Desktop Computer","No",""
"Minuteman Senior Services","MA","Healthcare Provider","500","01/27/2023","Hacking/IT Incident","Email","No",""
"Benefit Management LLC","KS","Business Associate","3356","01/27/2023","Hacking/IT Incident","Email","Yes",""
"Hayward Sisters Hospital d/b/a St. Rose Hospital ","CA","Healthcare Provider","501","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Howard Memorial Hospital","AR","Healthcare Provider","53668","01/27/2023","Hacking/IT Incident","Network Server","No",""
"Valley Care Home Health Services, Inc.","CA","Healthcare Provider","2674","01/25/2023","Theft","Other Portable Electronic Device","No",""
"AppleCare, LLC","GA","Healthcare Provider","512","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Peachtree Immediate Care FP, LLC","GA","Healthcare Provider","2555","01/23/2023","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"City of Cleveland","OH","Health Plan","15206","01/20/2023","Unauthorized Access/Disclosure","Network Server","No",""
"DCH Health System","AL","Healthcare Provider","2530","01/20/2023","Unauthorized Access/Disclosure","Desktop Computer","No",""
"One Brooklyn Health System","NY","Healthcare Provider","500","01/18/2023","Hacking/IT Incident","Network Server","No",""
"Health Plan of San Mateo","CA","Health Plan","4032","01/18/2023","Hacking/IT Incident","Network Server","Yes",""
"mscripts®, LLC ","CA","Business Associate","66372","01/17/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"University of Colorado Hospital Authority","CO","Healthcare Provider","48879","01/17/2023","Hacking/IT Incident","Network Server","Yes",""
"Community Health Network, Inc.","IN","Business Associate","1237","01/13/2023","Unauthorized Access/Disclosure","Network Server","Yes",""
"1st Franklin Financial Corporation Master Welfare Benefit Plan","GA","Health Plan","3039","01/13/2023","Hacking/IT Incident","Email","No",""
"Intelligent Business Solutions ","NC","Business Associate","500","01/13/2023","Hacking/IT Incident","Network Server","Yes",""
"Jefferson County Health Center d/b/a Jefferson County Health Department","MO","Healthcare Provider","115940","01/13/2023","Hacking/IT Incident","Network Server","No",""
"DPP II, LLC","TX","Healthcare Provider","125981","01/12/2023","Hacking/IT Incident","Network Server","No",""
"Dr. Keith Rundle & Dr. Herman Rundle","CA","Healthcare Provider","7528","01/12/2023","Hacking/IT Incident","Network Server","No",""
"UCLA Health","CA","Healthcare Provider","94000","01/12/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Minnesota Department of Human Services","MN","Health Plan","4307","01/11/2023","Unauthorized Access/Disclosure","Email","No",""
"Community Psychiatry Management, LLC, dba Mindpath Health","NC","Healthcare Provider","193947","01/10/2023","Hacking/IT Incident","Email","No",""
"Vascular Institute of Houston, PLLC","TX","Healthcare Provider","1195","01/05/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Vascular Institute of North Texas, PLLC ","TX","Healthcare Provider","5853","01/05/2023","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"Pershing Health System","MO","Healthcare Provider","5368","01/05/2023","Hacking/IT Incident","Email","No",""
"Insulet Corporation","MA","Healthcare Provider","29000","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
"Texas Orthopaedic & Sports Medicine","TX","Healthcare Provider","1064","01/05/2023","Hacking/IT Incident","Electronic Medical Record, Laptop","No",""
"Lantern Hill Retirement Community","NJ","Healthcare Provider","528","01/05/2023","Unauthorized Access/Disclosure","Network Server","No",""
